abbrev,numwins,bpi,bpirank,bpioffense,bpidefense,playoffbpi
OKC,43-9,9.5,1,3.5,6.0,8.6
CLE,43-10,5.9,2,6.3,-0.3,6.0
LAL,32-19,5.4,3,3.8,1.6,4.5
BOS,38-16,4.8,4,4.0,0.8,4.5
MEM,35-17,4.1,5,2.9,1.2,3.2
NY,34-18,3.9,6,4.3,-0.4,2.3
LAC,29-23,3.2,7,-0.3,3.5,2.4
DEN,35-19,3.2,8,5.1,-1.9,3.4
PHI,20-32,3.1,9,-0.4,3.6,0.2
GS,27-26,2.6,10,0.8,1.8,2.2
IND,29-22,2.0,11,1.5,0.5,0.8
HOU,33-20,1.8,12,-0.8,2.6,2.9
ORL,26-29,1.3,13,-3.7,4.9,0.4
DET,27-26,1.2,14,-0.9,2.1,-0.5
SAC,27-26,0.6,15,1.9,-1.3,-0.2
SA,23-28,0.3,16,0.7,-0.4,-0.6
TOR,16-37,-0.1,17,-2.8,2.7,-3.1
PHX,26-26,-0.6,18,2.2,-2.8,-0.1
CHI,22-31,-0.9,19,-0.4,-0.6,-2.8
MIN,30-24,-1.3,20,-1.4,0.0,0.1
ATL,26-28,-1.8,21,-1.6,-0.3,-1.5
MIA,25-26,-1.9,22,-1.5,-0.4,-2.8
MIL,28-24,-2.3,23,-0.1,-2.2,-0.3
POR,23-31,-2.5,24,-1.5,-1.0,-1.0
DAL,28-26,-4.4,25,-0.8,-3.6,2.0
NO,12-41,-5.2,26,-2.1,-3.0,-6.1
UTAH,12-40,-5.3,27,-1.2,-4.1,-6.2
BKN,19-34,-5.4,28,-4.3,-1.1,-4.3
WSH,9-44,-9.5,29,-5.5,-3.9,-7.2
CHA,13-38,-11.7,30,-7.8,-3.9,-6.7